runtime 
Tf idf regression
0 0 0.64229302832244 
0.666666666666667 0.0555555555555556 0.622771672771673 
NaN 0 0.678635450051605 
0 0 0.663277777777778 
0.5 0.015625 0.699548855633803 
0.0625 0.0232558139534884 0.619764840538994 
0.333333333333333 0.025 0.696416666666667 
0.333333333333333 0.0212765957446809 0.655203880697373 
NaN 0 0.668186913982878 
NaN 0 0.721090308370044 
PCA regression
0.0769230769230769 0.117647058823529 0.506307118033209 
0.075 0.307692307692308 0.490129339686862 
0.105413105413105 0.973684210526316 0.639496972519795 
0.106896551724138 0.738095238095238 0.579985119047619 
0.111111111111111 0.152173913043478 0.513023893458676 
0.100529100529101 0.76 0.493636363636364 
0.121212121212121 0.326530612244898 0.531746031746032 
0 0 0.4453125 
0.121212121212121 0.260869565217391 0.532461809635723 
0.25974025974026 0.540540540540541 0.707356362985502 
Code embedding regression
0.25 0.0208333333333333 0.796439992475546 
0.666666666666667 0.1 0.826441241685144 
0.5 0.125 0.746194444444444 
0.5 0.075 0.787055555555556 
0.8 0.108108108108108 0.746435176898753 
0.5 0.0444444444444444 0.791610486891386 
0.5 0.125 0.788583333333333 
0.428571428571429 0.0625 0.748091063348416 
0.5 0.102564102564103 0.763346409687873 
0.666666666666667 0.0869565217391304 0.749755189972581 
cpu 
Tf idf regression
0.6 0.027027027027027 0.747937411095306 
0.8 0.0754716981132075 0.810193580004901 
0.714285714285714 0.05 0.728012820512821 
0.8 0.0454545454545455 0.688220827679783 
0.75 0.0978260869565217 0.753195324448329 
0.833333333333333 0.0581395348837209 0.773629979276998 
0.75 0.0326086956521739 0.665774524797903 
0.363636363636364 0.0416666666666667 0.695841264805415 
0.727272727272727 0.0833333333333333 0.694783735194585 
0.3 0.08 0.742795180722892 
PCA regression
0.393939393939394 0.273684210526316 0.611709197235513 
0.329787234042553 0.316326530612245 0.65359349846809 
0.214765100671141 0.340425531914894 0.594482054588438 
0.305555555555556 0.114583333333333 0.619249682741117 
0.180952380952381 0.226190476190476 0.561752287121745 
0.372549019607843 0.38 0.713538461538462 
0.299212598425197 0.426966292134831 0.648995488806075 
0.135922330097087 0.145833333333333 0.542420156514382 
0.209677419354839 0.273684210526316 0.522891405729514 
0.291338582677165 0.389473684210526 0.606782145236509 
Code embedding regression
0.466666666666667 0.157303370786517 0.78841746324557 
0.466666666666667 0.150537634408602 0.751161722591452 
0.521739130434783 0.130434782608696 0.767710836792659 
0.583333333333333 0.132075471698113 0.795572916666667 
0.481481481481481 0.125 0.709595456357114 
0.307692307692308 0.0898876404494382 0.737678276219563 
0.393939393939394 0.141304347826087 0.745220668560192 
0.578947368421053 0.11340206185567 0.769510243697699 
0.518518518518518 0.166666666666667 0.763077644851044 
0.466666666666667 0.145833333333333 0.730501797800338 
mem 
Tf idf regression
0.5 0.0746268656716418 0.656980428048437 
0.75 0.0394736842105263 0.721242866201649 
0.5 0.027027027027027 0.718132796257796 
0.333333333333333 0.015625 0.686656396713615 
0.714285714285714 0.0574712643678161 0.721713584894897 
0.285714285714286 0.0277777777777778 0.708266879319511 
0.857142857142857 0.0759493670886076 0.69631032677323 
0.25 0.0161290322580645 0.738487337955984 
0.25 0.0151515151515152 0.691823899371069 
0.5 0.0263157894736842 0.724431095855581 
PCA regression
0.16 0.0963855421686747 0.518884360973305 
0.232142857142857 0.366197183098592 0.621277665995976 
0.201320132013201 0.782051282051282 0.582104182225541 
0.154411764705882 0.67741935483871 0.587711034066928 
0.152941176470588 0.206349206349206 0.512731868703766 
0.223529411764706 0.253333333333333 0.575341365461847 
0.108108108108108 0.108108108108108 0.50383316008316 
0.105691056910569 0.175675675675676 0.496069386694387 
0.118421052631579 0.529411764705882 0.538594229160859 
0.179878048780488 0.786666666666667 0.567293172690763 
Code embedding regression
0.5 0.101449275362319 0.724208393433615 
0.545454545454545 0.0882352941176471 0.747392574050897 
0.684210526315789 0.1625 0.746204268292683 
0.411764705882353 0.0985915492957746 0.740361020538505 
0.5625 0.107142857142857 0.745660333098757 
0.363636363636364 0.0615384615384615 0.716561085972851 
0.416666666666667 0.0684931506849315 0.740169508229033 
0.538461538461538 0.107692307692308 0.760542986425339 
0.352941176470588 0.0810810810810811 0.69066722972973 
0.466666666666667 0.0945945945945946 0.717320686070686 
ioread 
Tf idf regression
0.4 0.0217391304347826 0.737155388471178 
