runtime 
Tf idf xgboost
0.645161290322581 0.571428571428571 0.951472431077694 
0.807692307692308 0.428571428571429 0.933304090867116 
0.666666666666667 0.4 0.931264367816092 
0.55 0.333333333333333 0.933857171275114 
0.608695652173913 0.451612903225806 0.945217513528709 
0.766666666666667 0.522727272727273 0.962443946188341 
0.625 0.416666666666667 0.942394762604014 
0.590909090909091 0.361111111111111 0.952490210474792 
0.633333333333333 0.372549019607843 0.939948188842735 
0.6 0.339622641509434 0.92461465394413 
PCA xgboost
0 0 0.703376042302217 
0 0 0.515089630133878 
NaN 0 0.640772727272727 
1 0.027027027027027 0.606497225702524 
0 0 0.53930142864903 
NaN 0 0.671666666666667 
1 0.0652173913043478 0.614203877790834 
NaN 0 0.485874824410801 
NaN 0 0.587977296181631 
0 0 0.655513906242769 
Code embedding xgboost
0.733333333333333 0.282051282051282 0.913291354663036 
0.823529411764706 0.341463414634146 0.948265582655826 
0.642857142857143 0.409090909090909 0.943844272319609 
0.785714285714286 0.275 0.928833333333333 
0.636363636363636 0.189189189189189 0.893890579321043 
0.696969696969697 0.479166666666667 0.949707767722474 
0.647058823529412 0.255813953488372 0.924873835908642 
0.7 0.152173913043478 0.926067371719546 
0.722222222222222 0.288888888888889 0.936828963795256 
0.761904761904762 0.4 0.932055555555556 
cpu 
Tf idf xgboost
0.564102564102564 0.478260869565217 0.851531001416585 
0.652173913043478 0.50561797752809 0.900399686958466 
0.534090909090909 0.489583333333333 0.853360300338409 
0.6875 0.444444444444444 0.867769769304296 
0.629032258064516 0.481481481481481 0.880301246641915 
0.6875 0.431372549019608 0.876743480897514 
0.714285714285714 0.441176470588235 0.88036941580756 
0.716216216216216 0.54639175257732 0.907767372314472 
0.76056338028169 0.519230769230769 0.905776703866082 
0.685185185185185 0.4625 0.899649390243902 
PCA xgboost
0.4375 0.0823529411764706 0.694711677774558 
0.181818181818182 0.018018018018018 0.513987671882409 
0.458333333333333 0.114583333333333 0.728862626903553 
0.388888888888889 0.0714285714285714 0.605450853810912 
0.230769230769231 0.03125 0.695960236886633 
0.296296296296296 0.0824742268041237 0.6036698932347 
0 0 0.564267812388113 
0 0 0.558319444444444 
0.166666666666667 0.0103092783505155 0.585858188400094 
0.411764705882353 0.0864197530864197 0.607066316520269 
Code embedding xgboost
0.743589743589744 0.517857142857143 0.900490011307953 
0.703125 0.483870967741935 0.901172529313233 
0.73134328358209 0.462264150943396 0.870934060534591 
0.661538461538462 0.505882352941176 0.837167755991285 
0.706666666666667 0.495327102803738 0.883348380957029 
0.619718309859155 0.468085106382979 0.887277025574898 
0.556818181818182 0.576470588235294 0.875642701525054 
0.62962962962963 0.354166666666667 0.841264805414552 
0.716666666666667 0.5 0.899234400184204 
0.58974358974359 0.58974358974359 0.893390589992532 
mem 
Tf idf xgboost
0.571428571428571 0.271186440677966 0.88567168863779 
0.512820512820513 0.363636363636364 0.859987489574646 
0.55 0.349206349206349 0.872253819560611 
0.631578947368421 0.272727272727273 0.845191655359566 
0.703703703703704 0.231707317073171 0.872593854615017 
0.758620689655172 0.314285714285714 0.878316326530612 
0.72972972972973 0.391304347826087 0.87250852008675 
0.657894736842105 0.3125 0.868795731707317 
0.777777777777778 0.325581395348837 0.846664172231177 
0.657142857142857 0.323943661971831 0.867037547480588 
PCA xgboost
1 0.012987012987013 0.731225296442688 
0.105263157894737 0.028169014084507 0.552347417840376 
0.5 0.0923076923076923 0.729701357466063 
0.666666666666667 0.0487804878048781 0.698051171688187 
0.2 0.0126582278481013 0.662678246943238 
0.0625 0.015625 0.643687646713615 
0.375 0.0422535211267606 0.662291169451074 
0.2 0.0540540540540541 0.64431198024948 
0.5 0.0857142857142857 0.808537414965986 
0.444444444444444 0.0571428571428571 0.662959183673469 
Code embedding xgboost
0.833333333333333 0.3125 0.915799878345499 
0.55 0.333333333333333 0.844723707664884 
0.735294117647059 0.333333333333333 0.884578313253012 
0.575757575757576 0.246753246753247 0.86503569070155 
0.741935483870968 0.328571428571429 0.838962585034014 
0.678571428571429 0.26027397260274 0.901399428402483 
0.636363636363636 0.411764705882353 0.868134931697798 
0.794117647058823 0.364864864864865 0.875682172557173 
0.787878787878788 0.366197183098592 0.886433157417056 
0.818181818181818 0.260869565217391 0.836001239285345 
ioread 
Tf idf xgboost
0.654545454545455 0.5 0.935958631662689 
0.626865671641791 0.518518518518518 0.893631436314363 
0.661538461538462 0.452631578947368 0.885329780146569 
0.661290322580645 0.488095238095238 0.898574947220267 
0.723404255319149 0.435897435897436 0.921567712223052 
0.629032258064516 0.475609756097561 0.884729196556671 
0.703703703703704 0.606382978723404 0.934128519234902 
0.63013698630137 0.464646464646465 0.903136221550544 
0.704918032786885 0.511904761904762 0.911330049261084 
0.606060606060606 0.493827160493827 0.895574873977482 
PCA xgboost
0.545454545454545 0.144578313253012 0.779766123316797 
0.6 0.0306122448979592 0.768330996520746 
0.238095238095238 0.0581395348837209 0.632080359198711 
0.538461538461538 0.0921052631578947 0.75708746503941 
0.5625 0.115384615384615 0.623677495643515 
0.538461538461538 0.0886075949367089 0.784440543287443 
0.7 0.0752688172043011 0.707916903659164 
0.380952380952381 0.102564102564103 0.738004107542943 
0.555555555555556 0.0505050505050505 0.717507556382237 
0.214285714285714 0.0375 0.741753048780488 
Code embedding xgboost
0.662162162162162 0.544444444444444 0.904087004710446 
0.666666666666667 0.5 0.908354470513633 
0.693548387096774 0.48314606741573 0.913418700439911 
0.707692307692308 0.5 0.901928118855145 
0.714285714285714 0.38961038961039 0.902125719317003 
