runtime 
Tf idf randomForest
0.714285714285714 0.462962962962963 0.927663361301805 
0.448275862068966 0.371428571428571 0.911967418546366 
0.714285714285714 0.294117647058824 0.933114035087719 
0.823529411764706 0.297872340425532 0.914053119446712 
0.53125 0.459459459459459 0.945200167054472 
0.772727272727273 0.5 0.965331527347781 
0.758620689655172 0.392857142857143 0.940606484529296 
0.620689655172414 0.45 0.929777777777778 
0.7 0.291666666666667 0.908394607843137 
0.7 0.368421052631579 0.940352817885422 
PCA randomForest
NaN 0 0.697994579945799 
NaN 0 0.630968978738236 
NaN 0 0.567465667915106 
NaN 0 0.61110244003954 
NaN 0 0.8397907239819 
NaN 0 0.6070911360799 
NaN 0 0.722122785036692 
NaN 0 0.694082397003745 
NaN 0 0.615698587127159 
NaN 0 0.661770466118292 
Code embedding randomForest
0.739130434782609 0.34 0.931133786848073 
0.833333333333333 0.416666666666667 0.968021068472536 
0.642857142857143 0.25 0.960933675966716 
0.833333333333333 0.476190476190476 0.961708120748299 
0.633333333333333 0.475 0.959666666666667 
0.875 0.166666666666667 0.919961734693878 
0.652173913043478 0.384615384615385 0.917391551537893 
0.588235294117647 0.232558139534884 0.91301180999948 
0.666666666666667 0.333333333333333 0.884239130434783 
0.8 0.226415094339623 0.911359613142783 
cpu 
Tf idf randomForest
0.628571428571429 0.473118279569892 0.903266331658291 
0.73134328358209 0.505154639175258 0.898163169187294 
0.692307692307692 0.534653465346535 0.880895416019751 
0.666666666666667 0.568181818181818 0.900073496155586 
0.7 0.485148514851485 0.903446257222123 
0.636363636363636 0.5 0.898970795214638 
0.777777777777778 0.388888888888889 0.871739868140392 
0.706666666666667 0.519607843137255 0.901051142106327 
0.655737704918033 0.540540540540541 0.908621361746362 
0.784615384615385 0.542553191489362 0.901421126155169 
PCA randomForest
0 0 0.742403846153846 
1 0.0106382978723404 0.777453239723458 
0.25 0.0224719101123595 0.753915772366836 
NaN 0 0.698978951857706 
0.5 0.00943396226415094 0.640919811320755 
NaN 0 0.746172516803585 
0.75 0.0337078651685393 0.720235927036342 
NaN 0 0.697731793639722 
0.25 0.0104166666666667 0.665622356175973 
0 0 0.679795913013824 
Code embedding randomForest
0.765625 0.556818181818182 0.941489961651252 
0.816901408450704 0.604166666666667 0.916455696202532 
0.790697674418605 0.673267326732673 0.931634808725088 
0.765432098765432 0.574074074074074 0.916169769245685 
0.814285714285714 0.57 0.913705128205128 
0.721311475409836 0.5 0.871381727725011 
0.771084337349398 0.719101123595506 0.937179523102357 
0.803030303030303 0.535353535353535 0.913082228939006 
0.707317073170732 0.666666666666667 0.909628932432047 
0.757575757575758 0.581395348837209 0.902328459590145 
mem 
Tf idf randomForest
0.675675675675676 0.36231884057971 0.832371728827529 
0.595238095238095 0.342465753424658 0.877793799567412 
0.714285714285714 0.454545454545455 0.896297884505432 
0.6875 0.328358208955224 0.885254578172965 
0.763157894736842 0.349397590361446 0.904458127349694 
0.638888888888889 0.365079365079365 0.88301550128248 
0.409090909090909 0.253521126760563 0.80083364146694 
0.675 0.341772151898734 0.864008746804644 
0.6 0.385714285714286 0.841972789115646 
0.634615384615385 0.402439024390244 0.887105451936872 
PCA randomForest
0.714285714285714 0.072463768115942 0.738838519129061 
0 0 0.718490278307282 
0.25 0.0138888888888889 0.758306751727804 
NaN 0 0.690244701769718 
