runtime
removing any dimension metrics
0.746268657,0.46728972,0.806878386,0.641975309,0.485981308,0.793886541,0.774193548,0.224299065,0.794018096,0.701492537,0.439252336,0.747652241,0.66,0.308411215,0.770016072
Keeping only one dimension metrics
0.746268657,0.46728972,0.806878386,0.842105263,0.14953271,0.737842729,0.661290323,0.38317757,0.707369486,0.711111111,0.299065421,0.776623609,0.697674419,0.280373832,0.736113519
removing any dimension metrics
0.71641791,0.475247525,0.799837252,0.634146341,0.514851485,0.790594059,0.9,0.178217822,0.797722772,0.783333333,0.465346535,0.778613861,0.724137931,0.207920792,0.786355198
Keeping only one dimension metrics
0.71641791,0.475247525,0.799837252,0.666666667,0.01980198,0.73856745,0.68852459,0.415841584,0.705603342,0.75,0.148514851,0.77448948,0.761904762,0.158415842,0.728703589
removing any dimension metrics
0.76744186,0.314285714,0.775843882,0.7,0.133333333,0.759267631,0.6,0.228571429,0.738110307,0.694444444,0.476190476,0.725262206,0.727272727,0.228571429,0.748749247
Keeping only one dimension metrics
0.76744186,0.314285714,0.775843882,0.704225352,0.476190476,0.737142857,0.640625,0.39047619,0.700134418,0.696969697,0.438095238,0.718203737,0.675675676,0.238095238,0.724490657
removing any dimension metrics
0.878787879,0.232,0.792459459,0.698795181,0.464,0.777283784,1.0,0.12,0.780297297,0.814285714,0.456,0.774432432,0.8,0.128,0.7815
Keeping only one dimension metrics
0.878787879,0.232,0.792459459,0.916666667,0.088,0.72672973,0.690140845,0.392,0.700378378,0.805555556,0.464,0.77,0.736842105,0.224,0.7295
removing any dimension metrics
0.72972973,0.267326733,0.740091251,0.764705882,0.128712871,0.688770601,0.774193548,0.237623762,0.72762966,0.704545455,0.306930693,0.690663894,0.733333333,0.217821782,0.718628759
Keeping only one dimension metrics
0.72972973,0.267326733,0.740091251,0.6,0.326732673,0.658599894,0.775,0.306930693,0.70077805,0.697674419,0.297029703,0.687979143,0.727272727,0.158415842,0.707237965
removing any dimension metrics
0.660714286,0.333333333,0.74118779,0.533333333,0.144144144,0.723373859,0.673076923,0.315315315,0.734613254,0.623188406,0.387387387,0.719598239,0.672131148,0.369369369,0.734292545
Keeping only one dimension metrics
0.660714286,0.333333333,0.74118779,0.582278481,0.414414414,0.660787749,0.602739726,0.396396396,0.695692294,0.676056338,0.432432432,0.7309251,0.723404255,0.306306306,0.715619114
removing any dimension metrics
0.736111111,0.452991453,0.773969705,0.804878049,0.32038835,0.753483814,0.706896552,0.398058252,0.776300879,0.652777778,0.45631068,0.775198309,0.690909091,0.368932039,0.757005911
Keeping only one dimension metrics
0.736111111,0.452991453,0.773969705,0.64556962,0.495145631,0.725413617,0.628571429,0.427184466,0.683100671,0.681818182,0.436893204,0.762916909,0.732142857,0.398058252,0.719900769
removing any dimension metrics
0.829787234,0.333333333,0.7980466,0.658823529,0.478632479,0.77189642,0.783783784,0.247863248,0.754887027,0.710526316,0.461538462,0.778581704,0.75,0.333333333,0.759075908
Keeping only one dimension metrics
0.829787234,0.333333333,0.7980466,0.840909091,0.316239316,0.730741023,0.738461538,0.11025641,0.708214437,0.829787234,0.333333333,0.7480466,0.75,0.230769231,0.720373755
removing any dimension metrics
0.824561404,0.474747475,0.82227257,0.689189189,0.515151515,0.808096542,0.88,0.222222222,0.791387394,0.824561404,0.474747475,0.801611756,0.8,0.282828283,0.783316026
Keeping only one dimension metrics
0.824561404,0.474747475,0.82227257,0.739130435,0.171717172,0.734284905,0.671428571,0.474747475,0.710584978,0.833333333,0.202020202,0.771185374,0.8,0.282828283,0.724514302
removing any dimension metrics
0.709090909,0.354545455,0.759956012,0.597560976,0.445454545,0.724208211,0.829268293,0.309090909,0.735249267,0.676470588,0.418181818,0.738431085,0.705882353,0.327272727,0.748841642
Keeping only one dimension metrics
0.709090909,0.354545455,0.759956012,0.676470588,0.209090909,0.701067449,0.64516129,0.363636364,0.703973607,0.725806452,0.409090909,0.743445748,0.846153846,0.3,0.724193548
removing any dimension metrics
0.805493453,0.45342433,0.74013249,0.715781021,0.345726783,0.754879879,0.647990789,0.343544667,0.730530979,0.771427985,0.37232446,0.773416209,0.671167043,0.346537502,0.731142999
Keeping only one dimension metrics
0.782074398,0.258811451,0.740852678,0.738275807,0.327847949,0.683726887,0.635467935,0.254356523,0.70086795,0.769998209,0.413516124,0.774584636,0.749125195,0.197150455,0.726984653
removing any dimension metrics
0.696772644,0.25855403,0.758549704,0.773951372,0.262467152,0.733239738,0.825708484,0.191172857,0.74099074,0.791265124,0.387050039,0.708227653,0.691837786,0.349863893,0.728592216
Keeping only one dimension metrics
0.780485141,0.43328046,0.750427405,0.692449204,0.367081197,0.731798467,0.69071805,0.331135521,0.691540525,0.817773429,0.239463097,0.751206855,0.720124651,0.172691595,0.715318081
removing any dimension metrics
0.666329667,0.420305177,0.745694358,0.739996398,0.281877222,0.699143676,0.614635692,0.184939794,0.777597141,0.770634671,0.423828154,0.79696118,0.754014024,0.257938845,0.785559697
Keeping only one dimension metrics
0.671462098,0.32601239,0.791749394,0.794440936,0.096147069,0.679521459,0.633404399,0.439385645,0.704169063,0.718422112,0.233435886,0.77190131,0.700861521,0.318398903,0.708903009
removing any dimension metrics
0.678377126,0.268624015,0.796542251,0.561382942,0.146155695,0.72672381,0.611069454,0.2747932,0.792987751,0.654335142,0.316960712,0.724398615,0.758353279,0.186123958,0.776878785
Keeping only one dimension metrics
0.869469222,0.391414299,0.787886181,0.903321442,0.479681397,0.673323819,0.67424921,0.434706779,0.685822054,0.773977552,0.322186201,0.724815338,0.833828057,0.226837514,0.733895783
removing any dimension metrics
0.83745638,0.324618031,0.758991663,0.741782349,0.18881969,0.715096388,0.906153592,0.280005743,0.751104508,0.744316873,0.313783772,0.782678029,0.70707841,0.209106525,0.767047796
Keeping only one dimension metrics
0.668327675,0.437520297,0.769633696,0.766605084,0.32140576,0.667158956,0.622520594,0.121268208,0.700974615,0.824424148,0.434428378,0.705548804,0.843126875,0.180875655,0.725951295
removing any dimension metrics
0.66965201,0.409981544,0.799201432,0.623708583,0.168876029,0.757911767,0.743085188,0.20761601,0.794186641,0.721429512,0.451111859,0.751668744,0.717312554,0.219623849,0.728710708
Keeping only one dimension metrics
0.722583737,0.289805744,0.778322531,0.898295608,0.491104522,0.709529098,0.767248446,0.147543157,0.706988347,0.831540867,0.391729839,0.73094306,0.788813542,0.209460201,0.729521608
removing any dimension metrics
0.703979767,0.244279258,0.77948308,0.55545992,0.425810699,0.730991437,0.98613468,0.396832852,0.767648207,0.756533301,0.360029553,0.762873031,0.785689478,0.280648637,0.727985519
Keeping only one dimension metrics
0.665722205,0.44356957,0.798105522,0.644388519,0.341881915,0.682266118,0.686334734,0.183163986,0.697655852,0.783058007,0.366766954,0.769903457,0.83031681,0.167615171,0.717289718
removing any dimension metrics
0.825769548,0.263492642,0.757369149,0.573015629,0.409331438,0.696314686,0.734980756,0.281942908,0.777703082,0.692951396,0.448941768,0.741346308,0.7586385,0.244252268,0.778851378
Keeping only one dimension metrics
0.703978852,0.314707514,0.75129387,0.724591383,0.479322136,0.731547712,0.737791921,0.365208112,0.68951408,0.727580207,0.431902641,0.713167813,0.72354609,0.303477735,0.72315301
removing any dimension metrics
0.709501742,0.441571135,0.788182694,0.683448992,0.329230972,0.727462809,0.642423169,0.237297152,0.761347268,0.723728441,0.428690304,0.731705854,0.783585182,0.146535277,0.760494178
Keeping only one dimension metrics
0.7915341,0.470657496,0.793934187,0.62307406,0.191901624,0.717291406,0.71955528,0.339260676,0.685438886,0.728655225,0.240789704,0.741663396,0.711996757,0.159753199,0.728793842
removing any dimension metrics
0.789837057,0.284593847,0.812880564,0.569091725,0.388902388,0.722664456,0.780533105,0.3890473,0.786444466,0.723832655,0.389923636,0.776648145,0.687166741,0.344163675,0.722166957
Keeping only one dimension metrics
0.850525227,0.267025098,0.787271251,0.657628066,0.26443092,0.681805975,0.646090389,0.380764787,0.700708062,0.71024939,0.30184829,0.697198795,0.783676495,0.393591728,0.711996459
removing any dimension metrics
0.743821342,0.391329482,0.746735593,0.688966231,0.219843333,0.804608851,0.945758747,0.306196301,0.742057553,0.768765455,0.431559669,0.746471226,0.660090304,0.35483349,0.733016085
Keeping only one dimension metrics
0.706670013,0.249623478,0.740466574,0.630154747,0.153512875,0.662055457,0.664456133,0.454016715,0.707045193,0.775848614,0.355577379,0.69660603,0.816416384,0.254431148,0.721089628
removing any dimension metrics
0.821321499,0.372646673,0.805527997,0.559300147,0.195119838,0.755789974,0.754610059,0.219013367,0.735381151,0.716047594,0.437822187,0.764693289,0.671685318,0.213766016,0.781961496
Keeping only one dimension metrics
0.707180115,0.370248931,0.743822298,0.88585724,0.25148167,0.690514859,0.727655359,0.394799583,0.692195854,0.707810667,0.376535401,0.750998996,0.845777936,0.184753004,0.724855658
removing any dimension metrics
0.832750761,0.455172798,0.755356424,0.768919923,0.261716883,0.754740291,0.645605087,0.336509898,0.764001113,0.752110301,0.372403121,0.76264151,0.757455932,0.19593605,0.737513906
Keeping only one dimension metrics
0.685984717,0.307469927,0.802351391,0.663636897,0.375626,0.704565202,0.66514778,0.303463944,0.683869748,0.755156632,0.314625009,0.742511332,0.834929361,0.373037236,0.721260432
removing any dimension metrics
0.834995221,0.2896607,0.810598516,0.556887524,0.320398117,0.70028531,0.753555956,0.248724955,0.778645743,0.782674258,0.31723134,0.784200425,0.786148371,0.233372529,0.742228173
Keeping only one dimension metrics
0.674706563,0.355036791,0.749718078,0.851849169,0.211046653,0.691807214,0.655187105,0.124267395,0.701950557,0.765287653,0.276069191,0.733523986,0.683567878,0.267611373,0.712115887
removing any dimension metrics
0.744337591,0.441839138,0.765412917,0.559612349,0.185480218,0.807687506,0.991185301,0.349366851,0.764092821,0.692383928,0.472590198,0.783378913,0.660601874,0.187314455,0.755645497
Keeping only one dimension metrics
0.694324865,0.468106977,0.801627532,0.809848132,0.395331697,0.683365851,0.774258945,0.202883627,0.693650549,0.727318753,0.180516235,0.69429553,0.775737104,0.38444027,0.708419808
removing any dimension metrics
0.832171578,0.368854156,0.770401385,0.595612019,0.298877884,0.746255233,0.711062166,0.219139251,0.729048393,0.642420811,0.444273606,0.798887416,0.733064767,0.366371412,0.741941153
Keeping only one dimension metrics
0.822756349,0.246957681,0.773642966,0.606986652,0.365306136,0.716332046,0.633335843,0.341421092,0.708748752,0.7035352,0.398056536,0.770340208,0.686575203,0.317454652,0.708759967
removing any dimension metrics
0.825146043,0.406527358,0.745962324,0.691284612,0.296342359,0.702226897,0.760458982,0.257325311,0.793300834,0.814697701,0.403175362,0.774072845,0.721073758,0.306618332,0.762850353
Keeping only one dimension metrics
0.664315737,0.448876429,0.789994641,0.77150874,0.243077143,0.67504661,0.728144932,0.42047238,0.707110997,0.723969266,0.336437663,0.759856892,0.823479613,0.311781727,0.713511819
removing any dimension metrics
0.855811998,0.306509303,0.777120008,0.584884747,0.393906187,0.738874746,0.847688695,0.374701745,0.745072217,0.794428033,0.392260892,0.762713277,0.735345602,0.131324459,0.73860933
Keeping only one dimension metrics
0.811939796,0.325961671,0.745670447,0.595370929,0.25624385,0.728920463,0.611804685,0.28866784,0.696236462,0.794965338,0.291147645,0.696935416,0.694994404,0.212898918,0.727310146
removing any dimension metrics
0.776027232,0.306570273,0.750528605,0.654928164,0.136757944,0.777166574,0.600145289,0.324951864,0.76589072,0.757491314,0.315331484,0.745694723,0.75696668,0.327381992,0.747294071
Keeping only one dimension metrics
0.858836134,0.286177506,0.793419347,0.688362309,0.408302169,0.731671317,0.614961024,0.313782406,0.692101129,0.791402018,0.203407935,0.749718225,0.806171779,0.397694507,0.723520889
removing any dimension metrics
0.814430367,0.465228839,0.766108838,0.678683977,0.182770293,0.789933502,0.990578477,0.324216137,0.789619121,0.627776678,0.33406043,0.7145256,0.684031961,0.213585058,0.74339747
Keeping only one dimension metrics
0.672279477,0.280496778,0.787385911,0.667781391,0.292890948,0.705378306,0.747119311,0.157718781,0.692194379,0.722964499,0.369879389,0.746211519,0.843524167,0.339745441,0.734045701
removing any dimension metrics
0.742717788,0.337980049,0.818634484,0.731189889,0.448363081,0.802149901,0.732230629,0.280958395,0.759835772,0.822464892,0.422748914,0.766993899,0.713793626,0.175863392,0.724866704
Keeping only one dimension metrics
0.764224859,0.386587561,0.782759465,0.710984804,0.385343901,0.673545985,0.651986386,0.376515841,0.708129228,0.764033263,0.343052808,0.764530434,0.686264956,0.346294593,0.715753292
removing any dimension metrics
0.669756476,0.336747357,0.810708053,0.564589082,0.419750038,0.744163782,0.713947109,0.197994355,0.759289687,0.716141496,0.32837355,0.717606122,0.759414692,0.316142856,0.743460195
Keeping only one dimension metrics
0.716073096,0.340844125,0.80754487,0.753054986,0.192646926,0.661102687,0.765633831,0.199601183,0.685133198,0.737238144,0.30420054,0.751511088,0.691769203,0.332564836,0.727617258
removing any dimension metrics
0.686119345,0.365328448,0.809667891,0.73766236,0.373310778,0.773904628,0.604405242,0.327396157,0.7474009,0.78089732,0.385933474,0.725290408,0.769475849,0.178693496,0.763865082
Keeping only one dimension metrics
0.828401158,0.41457396,0.747065124,0.851324056,0.166723624,0.7148839,0.685747643,0.248421754,0.689336107,0.702075459,0.195087198,0.721631259,0.690530549,0.331991308,0.718967624
removing any dimension metrics
0.722430137,0.339141728,0.813853373,0.780188731,0.258789622,0.714331721,0.961579514,0.145540519,0.766303988,0.800680954,0.46799696,0.783218932,0.772699727,0.167526798,0.768323616
Keeping only one dimension metrics
0.723871799,0.456798314,0.794188725,0.855899492,0.478207904,0.729634919,0.773361971,0.368167031,0.684314611,0.759520316,0.443718389,0.728009634,0.777308045,0.18766812,0.723417585
removing any dimension metrics
0.744706617,0.249852982,0.780371134,0.538212164,0.396722746,0.68998588,0.964602827,0.125852701,0.776921512,0.768793711,0.322894598,0.790985308,0.743854027,0.319506173,0.745738178
Keeping only one dimension metrics
0.700500211,0.312440375,0.75104396,0.867218861,0.482460156,0.730727674,0.689911564,0.414191749,0.710083131,0.785654742,0.417110374,0.769651091,0.805232587,0.178457979,0.717803026
removing any dimension metrics
0.697912025,0.409226448,0.800361192,0.663416005,0.337277916,0.807383412,0.968491669,0.255274649,0.763231048,0.686024735,0.313587286,0.760320755,0.773908557,0.18669216,0.728925283
Keeping only one dimension metrics
0.820693533,0.234513651,0.810751985,0.69019072,0.093245668,0.706168564,0.625912254,0.381539685,0.686604424,0.704249508,0.313762263,0.715874515,0.785616521,0.307922055,0.728595283
removing any dimension metrics
0.848494992,0.356973346,0.790816476,0.696159544,0.415745919,0.738512431,0.755949931,0.291628759,0.731789213,0.6458775,0.344258147,0.702439059,0.744802817,0.160181246,0.758700683
Keeping only one dimension metrics
0.855474298,0.427457721,0.761918265,0.796064903,0.438060887,0.68259714,0.730833584,0.201517303,0.691015801,0.788826928,0.187028135,0.698243815,0.749691837,0.199638152,0.718652418
removing any dimension metrics
0.806618956,0.29277814,0.75178164,0.786021199,0.411495829,0.766046897,0.845598524,0.261263893,0.78189262,0.662740385,0.450947671,0.739552667,0.78561938,0.159373726,0.723161504
Keeping only one dimension metrics
0.873336405,0.380197849,0.810752442,0.607131989,0.081285385,0.702106311,0.610966325,0.237504933,0.68553768,0.691900922,0.429644611,0.776336438,0.749478078,0.178415964,0.734886951
removing any dimension metrics
0.660840137,0.310867476,0.743854066,0.744173173,0.15944566,0.711297747,0.618306792,0.205587937,0.750507384,0.675999741,0.450339729,0.758687569,0.754702602,0.158655945,0.782216451
Keeping only one dimension metrics
0.855889712,0.39844879,0.819182875,0.802443623,0.208708937,0.730799315,0.66874037,0.164310738,0.693610166,0.707918381,0.4045912,0.710405877,0.795765838,0.291201402,0.722505529
removing any dimension metrics
0.733862789,0.257740685,0.78672385,0.559734078,0.258273888,0.735752065,0.924570362,0.20194397,0.770284317,0.737863716,0.3248798,0.770578553,0.662857374,0.153076559,0.743069272
Keeping only one dimension metrics
0.803663319,0.32763887,0.795780147,0.691192416,0.270589363,0.67754189,0.752624893,0.470113198,0.696352223,0.697693045,0.275399581,0.694419735,0.758657378,0.373584279,0.730978829
removing any dimension metrics
0.80009984,0.235136018,0.811472859,0.750722281,0.228459534,0.79038601,0.906853566,0.334172149,0.765324229,0.647043543,0.355661328,0.757276248,0.697089353,0.317401389,0.747159855
Keeping only one dimension metrics
0.812852921,0.454710702,0.759371421,0.599970014,0.414024919,0.734291645,0.659870008,0.449545362,0.687431087,0.704778858,0.200970708,0.739113116,0.789487252,0.310503699,0.723441391
removing any dimension metrics
0.674728008,0.431854467,0.764587992,0.605234492,0.301924601,0.731305894,0.64458451,0.389875417,0.772698466,0.660358807,0.453845027,0.708942627,0.751080918,0.209570363,0.772479793
Keeping only one dimension metrics
0.685928581,0.268619112,0.794633095,0.617392925,0.350713003,0.728346731,0.759951031,0.251916411,0.698627376,0.72900285,0.420154898,0.70480643,0.70738267,0.298829193,0.730419848
removing any dimension metrics
0.721374298,0.270330624,0.819773034,0.748136953,0.487833621,0.79098835,0.826935178,0.218363339,0.770221728,0.71720006,0.393311848,0.748184091,0.696136112,0.317767939,0.730170324
Keeping only one dimension metrics
0.746862937,0.448367816,0.810252826,0.619439691,0.256560388,0.68762734,0.694903616,0.422653171,0.687511177,0.768501187,0.330228347,0.759481406,0.7735114,0.366922572,0.733993868
removing any dimension metrics
0.714886701,0.26768777,0.786323524,0.621153956,0.393375762,0.725960074,0.883126981,0.317907411,0.754696182,0.762330629,0.403720801,0.778923504,0.668736316,0.217263732,0.758276695
Keeping only one dimension metrics
