runtime 
Tf idf randomForest
0.73134328358209 0.453703703703704 0.765604662170157 
0.793103448275862 0.414414414414414 0.737285672769544 
0.724137931034483 0.375 0.737112806287564 
0.673076923076923 0.315315315315315 0.698837547224644 
0.660377358490566 0.294117647058824 0.737736955247215 
0.739130434782609 0.330097087378641 0.746041468867722 
0.773584905660377 0.383177570093458 0.744856827207309 
0.794117647058823 0.254716981132075 0.760936185554621 
0.754385964912281 0.413461538461538 0.741525681596884 
0.732142857142857 0.418367346938776 0.776857016098365 
PCA randomForest
0.192307692307692 0.043859649122807 0.576904394536831 
0.423076923076923 0.0973451327433628 0.636622227330192 
0.5 0.0857142857142857 0.62631103074141 
0.529411764705882 0.0833333333333333 0.627632824517809 
0.555555555555556 0.0826446280991736 0.561458304541309 
0.403508771929825 0.214953271028037 0.682242990654206 
0.492537313432836 0.347368421052632 0.648113360323887 
0.533333333333333 0.0833333333333333 0.599697788065844 
0.638888888888889 0.212962962962963 0.684101970560304 
0.222222222222222 0.0357142857142857 0.569138450834879 
Code embedding randomForest
0.685714285714286 0.424778761061947 0.759596598092173 
0.675324675324675 0.468468468468468 0.719689043882592 
0.726027397260274 0.473214285714286 0.812976768377254 
0.740740740740741 0.377358490566038 0.713536987121893 
0.698630136986301 0.435897435897436 0.742010098445742 
0.641025641025641 0.462962962962963 0.740755579297246 
0.727272727272727 0.482758620689655 0.757443852087114 
0.567901234567901 0.494623655913978 0.774325079740883 
0.632911392405063 0.476190476190476 0.749327286470144 
0.616438356164384 0.459183673469388 0.743709595639498 
cpu 
Tf idf randomForest
0.753623188405797 0.37956204379562 0.763583324766115 
0.675324675324675 0.403100775193798 0.720651481363492 
0.666666666666667 0.4 0.750660851176315 
0.655913978494624 0.448529411764706 0.753844169246646 
0.69047619047619 0.4 0.774971786833856 
0.602941176470588 0.310606060606061 0.724168771043771 
0.605263157894737 0.351145038167939 0.759291053646425 
0.6875 0.401459854014599 0.769479765804338 
0.674698795180723 0.411764705882353 0.751035625517813 
0.767123287671233 0.414814814814815 0.792280701754386 
PCA randomForest
0.387755102040816 0.12751677852349 0.486392123963679 
0.318181818181818 0.0507246376811594 0.546550929482255 
0.519230769230769 0.216 0.6835 
0.454545454545455 0.08 0.636810810810811 
0.328767123287671 0.175182481751825 0.602022129942483 
0.642857142857143 0.137404580152672 0.597083916638052 
0.285714285714286 0.128 0.559620338983051 
0.640625 0.288732394366197 0.712090890667747 
0.552631578947368 0.154411764705882 0.693856151615576 
0.461538461538462 0.128571428571429 0.593048469387755 
Code embedding randomForest
0.805555555555556 0.557692307692308 0.826233671988389 
0.741071428571429 0.628787878787879 0.832258571877949 
0.816326530612245 0.583941605839416 0.856584764058805 
0.685714285714286 0.605042016806723 0.79734542823752 
0.718446601941748 0.552238805970149 0.799238075357478 
0.656565656565657 0.575221238938053 0.814289008676602 
0.743362831858407 0.579310344827586 0.807899686520376 
0.681034482758621 0.598484848484849 0.796848695286195 
0.752212389380531 0.602836879432624 0.851216350186838 
0.736842105263158 0.60431654676259 0.847269515348575 
mem 
Tf idf randomForest
0.619047619047619 0.361111111111111 0.786519346822861 
0.708333333333333 0.311926605504587 0.776699600094096 
0.746031746031746 0.328671328671329 0.76647632942597 
0.652777777777778 0.382113821138211 0.804523380804278 
0.655172413793103 0.351851851851852 0.758576685660019 
0.735849056603774 0.348214285714286 0.771625695732839 
0.826923076923077 0.43 0.816625 
0.636363636363636 0.418803418803419 0.76947053679727 
0.761194029850746 0.411290322580645 0.802283129904098 
0.765957446808511 0.339622641509434 0.749278932820574 
PCA randomForest
0.5 0.018018018018018 0.608936355710549 
0.111111111111111 0.00826446280991736 0.594173553719008 
0.214285714285714 0.0267857142857143 0.54293804900601 
NaN 0 0.61193851545078 
0.666666666666667 0.0347826086956522 0.644248039914469 
0.285714285714286 0.0176991150442478 0.671874549594996 
0.25 0.0252100840336134 0.588821575141685 
0.2 0.0172413793103448 0.55987692831216 
0.266666666666667 0.0341880341880342 0.567699077600068 
0.642857142857143 0.185567010309278 0.704685455299863 
Code embedding randomForest
0.688073394495413 0.657894736842105 0.847219841133779 
0.642105263157895 0.559633027522936 0.795503999059045 
0.696078431372549 0.581967213114754 0.839889796589725 
0.689655172413793 0.535714285714286 0.823797965788257 
0.795180722891566 0.536585365853659 0.873928991815171 
0.75 0.604477611940298 0.843113975576662 
0.681318681318681 0.548672566371681 0.838502781701306 
0.71 0.606837606837607 0.863078615553863 
0.71264367816092 0.596153846153846 0.835747322297955 
0.697674418604651 0.588235294117647 0.857056973732889 
ioread 
Tf idf randomForest
0.810526315789474 0.490445859872611 0.80257189731712 
0.770114942528736 0.515384615384615 0.794607454401269 
0.721649484536082 0.472972972972973 0.79453766953767 
0.7 0.443661971830986 0.784971477611187 
0.741573033707865 0.455172413793103 0.791699059561129 
0.766355140186916 0.518987341772152 0.769240989467581 
0.698795180722892 0.426470588235294 0.806350973487987 
0.744897959183674 0.503448275862069 0.760376175548589 
0.697916666666667 0.478571428571429 0.749617346938775 
0.764705882352941 0.477941176470588 0.814247618061309 
PCA randomForest
0.555555555555556 0.302013422818792 0.677827674694039 
0.61038961038961 0.338129496402878 0.674957906015613 
0.591549295774648 0.325581395348837 0.69370553254752 
0.625 0.616883116883117 0.775098497008609 
0.596774193548387 0.248322147651007 0.694606107134897 
0.317073170731707 0.180555555555556 0.561569041867955 
0.578947368421053 0.381944444444444 0.687135165056361 
0.567164179104478 0.263888888888889 0.641933373590982 
0.366197183098592 0.366197183098592 0.571182490627216 
