runtime 
Tf idf regression
0.316239316239316 0.366336633663366 0.590129950495049 
0.428571428571429 0.297029702970297 0.614758663366337 
0.409836065573771 0.413223140495868 0.592176308539945 
0.279569892473118 0.530612244897959 0.545586655714918 
0.349206349206349 0.366666666666667 0.589416666666667 
0.338235294117647 0.418181818181818 0.59241935483871 
0.340782122905028 0.586538461538462 0.616175754625122 
0.309090909090909 0.323809523809524 0.523673469387755 
0.416666666666667 0.185185185185185 0.593008072174739 
0.578947368421053 0.297297297297297 0.677118866439255 
PCA regression
0.298804780876494 0.663716814159292 0.557953108838065 
0.242424242424242 0.347826086956522 0.539286729184427 
0.311764705882353 0.5 0.552455825097334 
0.251497005988024 0.451612903225806 0.531569630212431 
0.306772908366534 0.658119658119658 0.508222617133508 
0.261682242990654 0.509090909090909 0.514325513196481 
0.236453201970443 0.448598130841121 0.54281747335105 
0.296969696969697 0.453703703703704 0.540954415954416 
0.268 0.609090909090909 0.511656891495601 
0.27734375 0.71 0.5703125 
Code embedding regression
0.300546448087432 0.518867924528302 0.5523510032944 
0.348623853211009 0.64957264957265 0.608383940620783 
0.314553990610329 0.650485436893204 0.598445991329303 
0.338709677419355 0.605769230769231 0.603479131278816 
0.395833333333333 0.391752577319588 0.656314831955571 
0.432692307692308 0.420560747663551 0.690095846645367 
0.475247524752475 0.457142857142857 0.705124716553288 
0.33495145631068 0.594827586206897 0.566342445553539 
0.401785714285714 0.387931034482759 0.642127949183303 
0.462962962962963 0.462962962962963 0.683389719848053 
cpu 
Tf idf regression
0.597701149425287 0.366197183098592 0.689396234035035 
0.41726618705036 0.43609022556391 0.589755639097744 
0.608695652173913 0.402877697841727 0.684027246288076 
0.605263157894737 0.351145038167939 0.673729928928665 
0.436507936507937 0.39568345323741 0.62687216774623 
0.433628318584071 0.392 0.676149152542373 
0.429824561403509 0.340277777777778 0.594190318035427 
0.4 0.514285714285714 0.579030612244898 
0.523076923076923 0.527131782945736 0.676602999547138 
0.416666666666667 0.436507936507937 0.6028236691502 
PCA regression
0.342657342657343 0.371212121212121 0.52702631854881 
0.395522388059701 0.375886524822695 0.546301925025329 
0.28125 0.285714285714286 0.575302663438257 
0.279761904761905 0.37007874015748 0.532152230971129 
0.31638418079096 0.4 0.483928571428571 
0.390697674418605 0.595744680851064 0.563105315335926 
0.372781065088757 0.456521739130435 0.535692260252852 
0.361702127659574 0.344594594594595 0.490783982511924 
0.302752293577982 0.515625 0.492294520547945 
0.301369863013699 0.346456692913386 0.508236811695466 
Code embedding regression
0.48936170212766 0.518796992481203 0.684262740183793 
0.444444444444444 0.488549618320611 0.678599631481969 
0.49079754601227 0.645161290322581 0.709175084175084 
0.476190476190476 0.547945205479452 0.636363636363636 
0.40625 0.569343065693431 0.610469165097624 
0.337662337662338 0.604651162790698 0.555808625695943 
0.399038461538462 0.685950413223141 0.643522485419719 
0.509933774834437 0.516778523489933 0.65697516035563 
0.485 0.655405405405405 0.662596879968203 
0.514492753623188 0.546153846153846 0.702228116710875 
mem 
Tf idf regression
0.436363636363636 0.19672131147541 0.646458139152366 
0.425 0.16504854368932 0.621908774500824 
0.549019607843137 0.212121212121212 0.635026737967914 
0.48 0.192 0.680891891891892 
0.309090909090909 0.472222222222222 0.577932098765432 
0.285714285714286 0.275862068965517 0.535659596188748 
0.405660377358491 0.41747572815534 0.632063336498116 
0.549019607843137 0.241379310344828 0.659284255898367 
0.444444444444444 0.208695652173913 0.60615823235923 
0.475 0.172727272727273 0.619677419354839 
PCA regression
0.356435643564356 0.241610738255034 0.541477497039084 
0.230769230769231 0.207920792079208 0.526686262376238 
0.26865671641791 0.315789473684211 0.515958054745985 
0.205479452054795 0.256410256410256 0.600806905083221 
0.300970873786408 0.264957264957265 0.513511607571014 
0.251497005988024 0.388888888888889 0.494123931623932 
0.371681415929204 0.39622641509434 0.614168970075712 
0.373493975903614 0.300970873786408 0.556920155584821 
0.257142857142857 0.302521008403361 0.556994890979648 
0.278688524590164 0.146551724137931 0.531306715063521 
Code embedding regression
0.462264150943396 0.385826771653543 0.656194761369115 
0.525423728813559 0.466165413533835 0.711518379281537 
0.345238095238095 0.591836734693878 0.631989637960447 
0.370860927152318 0.518518518518518 0.63880014199503 
0.466666666666667 0.491228070175439 0.697827084049994 
0.43 0.443298969072165 0.674986435160065 
0.434426229508197 0.452991452991453 0.646723646723647 
0.408695652173913 0.408695652173913 0.673556664290805 
0.436363636363636 0.421052631578947 0.64072354087834 
0.395209580838323 0.519685039370079 0.629665958990621 
ioread 
Tf idf regression
0.421052631578947 0.567375886524823 0.571669199594732 
0.427777777777778 0.55 0.608172343670564 
0.709302325581395 0.423611111111111 0.710100782190132 
0.55045871559633 0.454545454545455 0.67766331131383 
0.542635658914729 0.49645390070922 0.70309362210529 
0.434146341463415 0.618055555555556 0.613677536231884 
0.66304347826087 0.36094674556213 0.673636813691978 
0.450331125827815 0.475524475524476 0.599214864557825 
0.427586206896552 0.436619718309859 0.613436011753977 
0.388349514563107 0.567375886524823 0.559571926078446 
PCA regression
0.328358208955224 0.318840579710145 0.491511752957444 
0.477011494252874 0.50609756097561 0.606636139318592 
0.333333333333333 0.395522388059701 0.512494149461751 
0.325301204819277 0.36241610738255 0.530201342281879 
0.417525773195876 0.558620689655172 0.568702194357367 
0.359477124183007 0.423076923076923 0.532705570291777 
0.297979797979798 0.375796178343949 0.58368651764307 
0.381679389312977 0.666666666666667 0.552592592592593 
0.343283582089552 0.48936170212766 0.536973486870536 
0.244444444444444 0.341085271317829 0.562348490902794 
Code embedding regression
